method_id,season,n,wins,losses,win_pct,roi,units
RS001,2006,5,3,2,0.6,0.602,3.01
RS001,2007,1,1,0,1.0,1.46,1.46
RS001,2008,3,2,1,0.6666666666666666,0.61,1.83
RS001,2009,5,4,1,0.8,1.008,5.04
RS001,2010,7,3,4,0.42857142857142855,0.10857142857142857,0.76
RS001,2011,2,2,0,1.0,1.445,2.89
RS001,2012,2,2,0,1.0,1.49,2.98
RS001,2013,1,0,1,0.0,-1.0,-1.0
RS001,2014,2,2,0,1.0,1.45,2.9
RS001,2015,2,1,1,0.5,0.18000000000000005,0.3600000000000001
RS001,2016,3,2,1,0.6666666666666666,0.7633333333333333,2.29
RS001,2017,3,1,2,0.3333333333333333,-0.20000000000000004,-0.6000000000000001
RS001,2018,2,1,1,0.5,0.22999999999999998,0.45999999999999996
RS001,2019,4,2,2,0.5,0.3425,1.37
RS001,2020,1,1,0,1.0,1.73,1.73
RS001,2021,3,3,0,1.0,1.4433333333333334,4.33
RS001,2022,7,6,1,0.8571428571428571,1.1585714285714286,8.11
RS001,2023,3,2,1,0.6666666666666666,0.5466666666666665,1.6399999999999997
RS001,2024,1,1,0,1.0,1.36,1.36
RS001,2025,3,1,2,0.3333333333333333,-0.25333333333333335,-0.76
RS002,2006,10,8,2,0.8,1.081,10.81
RS002,2007,8,5,3,0.625,0.6749999999999999,5.3999999999999995
RS002,2008,11,8,3,0.7272727272727273,0.7527272727272727,8.28
RS002,2009,2,1,1,0.5,0.345,0.69
RS002,2010,4,1,3,0.25,-0.4525,-1.81
RS002,2011,3,2,1,0.6666666666666666,0.4833333333333334,1.4500000000000002
RS002,2012,8,7,1,0.875,0.98375,7.87
RS002,2013,2,0,2,0.0,-1.0,-2.0
RS002,2014,4,4,0,1.0,1.34,5.36
RS002,2015,3,3,0,1.0,1.2633333333333334,3.79
RS002,2016,1,0,1,0.0,-1.0,-1.0
RS002,2018,1,1,0,1.0,1.46,1.46
RS002,2019,3,2,1,0.6666666666666666,0.5533333333333333,1.6600000000000001
RS002,2020,3,2,1,0.6666666666666666,0.4033333333333333,1.21
RS002,2021,3,3,0,1.0,1.6066666666666667,4.82
RS002,2022,4,4,0,1.0,1.4575,5.83
RS002,2023,4,2,2,0.5,0.235,0.94
RS002,2024,7,6,1,0.8571428571428571,0.9971428571428571,6.9799999999999995
RS002,2025,5,2,3,0.4,0.008000000000000007,0.040000000000000036
RS003,2006,19,11,8,0.5789473684210527,0.4889473684210527,9.290000000000001
RS003,2007,8,5,3,0.625,0.6275000000000001,5.0200000000000005
RS003,2008,8,7,1,0.875,1.045,8.36
RS003,2009,9,7,2,0.7777777777777778,0.9822222222222222,8.84
RS003,2010,5,1,4,0.2,-0.488,-2.44
RS003,2011,6,3,3,0.5,0.165,0.99
RS003,2012,5,2,3,0.4,-0.07400000000000002,-0.3700000000000001
RS003,2013,3,1,2,0.3333333333333333,-0.2333333333333333,-0.7
RS003,2014,6,4,2,0.6666666666666666,0.535,3.21
RS003,2015,6,4,2,0.6666666666666666,0.51,3.06
RS003,2016,5,3,2,0.6,0.32999999999999996,1.65
RS003,2017,2,2,0,1.0,1.21,2.42
RS003,2018,5,3,2,0.6,0.366,1.83
RS003,2019,7,5,2,0.7142857142857143,0.6628571428571428,4.64
RS003,2020,4,2,2,0.5,0.20750000000000002,0.8300000000000001
RS003,2021,4,4,0,1.0,1.3599999999999999,5.4399999999999995
RS003,2022,12,8,4,0.6666666666666666,0.6999999999999998,8.399999999999999
RS003,2023,7,3,4,0.42857142857142855,0.0057142857142857195,0.040000000000000036
RS003,2024,11,6,5,0.5454545454545454,0.2509090909090909,2.7600000000000002
RS003,2025,8,6,2,0.75,0.7525,6.02
