method_id,track,price_band,venue,conditions,preferred_discovery,elite_recent_discovery,n,wins,losses,win_pct,roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,top_team,top_team_share,top3_team_share,recommended_start_week,W4_6_n,W4_6_win_pct,W4_6_roi,W7_10_n,W7_10_win_pct,W7_10_roi,W11_14_n,W11_14_win_pct,W11_14_roi,W15_18_n,W15_18_win_pct,W15_18_roi,robust_score,duplicate_of,max_jaccard_overlap,deployment_status
CO022,MODERN,DOG20_34,AWAY,"[[""coachq_staff_quality_min"", "">="", 0.5076709401709403], [""coachq_prev_dc_prior_quality"", ""<="", 0.53125]]",False,False,74,34,40,0.4594594594594595,0.7116216216216216,33,1.0084848484848485,12,0.625,18,0.5950000000000001,0.75,NO,0.12162162162162163,0.32432432432432434,4,17,0.4117647058823529,0.5929411764705881,20,0.4,0.3745,24,0.5833333333333334,1.1820833333333334,13,0.38461538461538464,0.5169230769230768,0.5861949444649147,,0.0,CO_WATCH
CO028,LONG,DOG20_34,AWAY,"[[""adv_staff_quality_min"", "">="", 0.0625], [""coachq_hc_prior_role_seasons"", ""<="", 0.0]]",False,False,74,29,45,0.3918918918918919,0.46067567567567574,33,0.23242424242424242,17,0.9823529411764708,24,0.405,0.7647058823529411,ATL,0.06756756756756757,0.20270270270270271,4,16,0.4375,0.5087499999999999,19,0.42105263157894735,0.341578947368421,24,0.375,0.5545833333333333,15,0.3333333333333333,0.41000000000000003,0.463929841126282,,0.5607476635514018,CO_WATCH
CO027,LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_mean"", "">="", 0.5564903846153846], [""coachq_prev_oc_recent_quality"", "">="", 0.78125]]",False,False,78,29,49,0.3717948717948718,0.3515384615384615,24,0.14916666666666667,36,0.4275,18,0.4694444444444445,0.7222222222222222,NO,0.11538461538461539,0.3076923076923077,7,10,0.4,0.665,23,0.30434782608695654,0.014782608695652148,22,0.45454545454545453,0.6349999999999999,23,0.34782608695652173,0.2808695652173913,0.44864318581702095,,0.1875,CO_WATCH
CO003,LONG,DOG20_34,HOME,"[[""coachq_oc_prior_quality"", ""<="", 0.44765625]]",True,False,90,33,57,0.36666666666666664,0.367,35,0.33171428571428574,33,0.3460606060606061,22,0.45454545454545453,0.7222222222222222,LV,0.14444444444444443,0.36666666666666664,4,22,0.36363636363636365,0.2686363636363636,23,0.30434782608695654,0.22217391304347828,24,0.375,0.45625,21,0.42857142857142855,0.5266666666666667,0.4474550539129265,,0.0,CO_WATCH
CO008,LONG,DOG20_34,ANY,"[[""coachq_oc_recent_quality"", ""<="", 0.3125], [""coachq_dc_changed_quality"", "">="", 1.0]]",True,False,97,35,62,0.36082474226804123,0.29257731958762884,41,0.1102439024390244,37,0.3864864864864864,19,0.5031578947368421,0.7058823529411765,MIN,0.12371134020618557,0.32989690721649484,4,25,0.48,0.7744,26,0.34615384615384615,0.1780769230769231,27,0.25925925925925924,0.004444444444444432,19,0.3684210526315789,0.22473684210526312,0.44588237873836867,,0.147239263803681,CO_WATCH
CO029,LONG,DOG35_44,ANY,"[[""coachq_dc_recent_quality"", "">="", 0.34375], [""coachq_prev_dc_recent_quality"", ""<="", 0.28125]]",False,False,106,54,52,0.5094339622641509,0.2800943396226415,26,0.25846153846153846,49,0.16693877551020408,31,0.47709677419354835,0.6666666666666666,BUF,0.05660377358490566,0.169811320754717,4,25,0.6,0.5052,24,0.5416666666666666,0.3625,32,0.5,0.24968750000000003,25,0.4,0.014800000000000004,0.4334913885972007,,0.2054794520547945,CO_WATCH
CO034,LONG,DOG20_34,HOME,"[[""coachq_oc_recent_quality"", ""<="", 0.3359375]]",False,False,86,34,52,0.3953488372093023,0.477093023255814,25,0.5912000000000001,39,0.4984615384615384,22,0.30954545454545457,0.7222222222222222,LV,0.12790697674418605,0.3372093023255814,4,24,0.375,0.31666666666666665,22,0.45454545454545453,0.7127272727272728,23,0.34782608695652173,0.44565217391304346,17,0.4117647058823529,0.4411764705882353,0.4247615448150704,,0.6296296296296297,CO_WATCH
CO033,LONG,DOG20_34,ANY,"[[""adv_oc_quality_delta_vs_departed"", "">="", -0.18320312499999997], [""coachq_dc_changed_quality"", "">="", 1.0]]",False,False,70,25,45,0.35714285714285715,0.2854285714285715,20,0.27199999999999996,32,0.20625,18,0.44111111111111106,0.6875,CAR,0.11428571428571428,0.2857142857142857,4,17,0.35294117647058826,0.4223529411764706,17,0.35294117647058826,0.13470588235294115,21,0.23809523809523808,-0.10904761904761907,15,0.5333333333333333,0.8533333333333334,0.41415709620374486,,0.13846153846153847,CO_WATCH
CO051,MODERN,DOG20_34,AWAY,"[[""coachq_oc_recent_quality"", "">="", 0.6875], [""coachq_staff_quality_min"", "">="", 0.5076709401709403]]",False,False,90,39,51,0.43333333333333335,0.5532222222222222,37,0.7699999999999999,19,0.5284210526315789,16,0.19437500000000002,0.7647058823529411,HOU,0.12222222222222222,0.2777777777777778,4,16,0.4375,0.5,25,0.44,0.5332,27,0.5185185185185185,0.9088888888888889,22,0.3181818181818182,0.1781818181818182,0.41237578697888017,,0.323943661971831,CO_WATCH
CO065,LONG,DOG20_34,AWAY,"[[""coachq_oc_recent_quality"", "">="", 0.71875], [""coachq_oc_prior_quality"", "">="", 0.59375], [""coachq_staff_quality_min"", "">="", 0.46153846153846156]]",False,False,87,36,51,0.41379310344827586,0.48770114942528736,25,0.49360000000000004,34,0.731764705882353,28,0.1860714285714286,0.7647058823529411,GB,0.08045977011494253,0.24137931034482757,4,15,0.4,0.3993333333333334,21,0.42857142857142855,0.448095238095238,29,0.5172413793103449,0.9331034482758621,22,0.2727272727272727,-0.0013636363636363345,0.39584133467540056,,0.7352941176470589,CO_WATCH
